Importer,Exporter,Count
Afghanistan,Austria,37
Afghanistan,Democratic Republic of the Congo,8
Afghanistan,France,2
Afghanistan,Hong Kong,1
Afghanistan,Indonesia,19
Afghanistan,Kuwait,2
Afghanistan,Philippines,3
Afghanistan,Senegal,3
Afghanistan,South Africa,219
Afghanistan,Suriname,39
Afghanistan,United Arab Emirates,1
Albania,Belgium,3
Albania,Croatia,30
Albania,France,57
Albania,Germany,34
Albania,Italy,34
Albania,Netherlands,974
Albania,Switzerland,23
Algeria,China,4
Algeria,France,6
Algeria,Germany,6
Algeria,India,2
Algeria,Italy,4
Algeria,Netherlands,47
Algeria,Qatar,2
Algeria,Saudi Arabia,2
Algeria,Spain,6
Algeria,Switzerland,4
Algeria,United Arab Emirates,5
Algeria,United Kingdom,1
Algeria,Zimbabwe,2
Andorra,Austria,30
Andorra,France,49
Andorra,Germany,63
Andorra,Italy,9
Andorra,Netherlands,5
Andorra,Spain,220
Andorra,Switzerland,52
Angola,Germany,5
Angola,Netherlands,103
Angola,Portugal,9
Angola,South Africa,8
Angola,Switzerland,60
Anguilla,Dominica,2
Anguilla,Saint Kitts and Nevis,1
Anguilla,Saint Vincent and the Grenadines,2
Antigua and Barbuda,Jamaica,4
Antigua and Barbuda,Netherlands,12
Antigua and Barbuda,Switzerland,1
Antigua and Barbuda,Thailand,130
Argentina,Austria,10
Argentina,Belgium,1
Argentina,Benin,4
Argentina,Bolivia (Plurinational State of),9
Argentina,Brazil,4
Argentina,Canada,41
Argentina,China,9
Argentina,Colombia,20
Argentina,Estonia,19
Argentina,France,287
Argentina,Germany,103
Argentina,Indonesia,374
Argentina,Ireland,1
Argentina,Italy,10
Argentina,Kyrgyzstan,5
Argentina,Malaysia,5
Argentina,Mozambique,3
Argentina,Paraguay,13
Argentina,Portugal,1
Argentina,Russian Federation,4
Argentina,South Africa,93
Argentina,South Korea,12
Argentina,Spain,25
Argentina,Sweden,2
Argentina,Switzerland,126
Argentina,"Tanzania, United Republic of",1
Argentina,Turkey,1
Argentina,United Kingdom,1
Argentina,United States of America,14
Argentina,Uruguay,3
Argentina,Zambia,2
Argentina,Zimbabwe,8
Armenia,Austria,17
Armenia,Belarus,8
Armenia,Benin,1
Armenia,Canada,2
Armenia,Czech Republic,1
Armenia,France,113
Armenia,Germany,20
Armenia,Indonesia,63
Armenia,Iran (Islamic Republic of),3
Armenia,Italy,86
Armenia,Latvia,1
Armenia,Lebanon,1
Armenia,Mali,1
Armenia,Netherlands,256
Armenia,Poland,1
Armenia,Russian Federation,1
Armenia,Singapore,1
Armenia,South Africa,13
Armenia,Sudan,3
Armenia,Switzerland,33
Armenia,Syrian Arab Republic,8
Armenia,Turkey,1
Armenia,Viet Nam,1
Aruba,Curaçao,32
Aruba,France,43
Aruba,Germany,25
Aruba,Italy,2
Aruba,Jamaica,4
Aruba,Netherlands,1163
Aruba,South Africa,1
Aruba,Suriname,1
Aruba,Switzerland,131
Aruba,Thailand,99
Aruba,United States of America,89
Australia,Argentina,10
Australia,Austria,51
Australia,Bangladesh,2
Australia,Belarus,1
Australia,Belgium,3
Australia,Benin,13
Australia,Botswana,8
Australia,Brazil,4
Australia,Canada,189
Australia,China,148
Australia,Colombia,3
Australia,Cuba,2
Australia,Czech Republic,9
Australia,Denmark,36
Australia,Estonia,7
Australia,Ethiopia,2
Australia,Falkland Islands (Malvinas),1
Australia,Finland,1
Australia,France,2159
Australia,Germany,867
Australia,Ghana,1
Australia,Greece,17
Australia,Greenland,1
Australia,Hong Kong,30
Australia,India,11
Australia,Indonesia,13
Australia,Iran (Islamic Republic of),22
Australia,Ireland,85
